,qb1a,qb2,qb5,qb4_3,qb4_5,qb7,qb8,qb9,d1,d10,d11,country,d25,d8,d63,d7
17697,The increasing global population,7.0,Yes,2,2,1,2,2,centro,Woman,73,MT - Malta,Small or middle sized town,15,The middle class of society,con patner
17698,Climate change,10.0,Yes,2,2,1,1,1,centro-sx,Woman,39,MT - Malta,Small or middle sized town,16,The middle class of society,con patner
17699,International terrorism,6.0,Yes,1,1,1,1,1,sx,Man,75,MT - Malta,Large town,14,The middle class of society,single
17700,The increasing global population,10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,33,MT - Malta,Large town,17,The middle class of society,con patner
17701,Climate change,10.0,Yes,1,1,1,1,1,centro,Woman,46,MT - Malta,Large town,18,The working class of society,con patner e figli
17702,Climate change,10.0,Yes,1,1,1,1,1,centro,Man,35,MT - Malta,Large town,16,The working class of society,single con figli
17703,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro,Woman,52,MT - Malta,Large town,16,The middle class of society,single
17704,Climate change,10.0,Yes,1,1,2,2,2,sx,Man,57,MT - Malta,Small or middle sized town,16,The lower middle class of society,con patner
17705,Climate change,9.0,Yes,1,1,2,2,2,centro,Man,34,MT - Malta,Small or middle sized town,24,The middle class of society,con patner e figli
17706,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,57,MT - Malta,Large town,15,The working class of society,con patner e figli
17707,The increasing global population,9.0,Yes,1,1,1,1,1,non-posizionabile,Woman,46,MT - Malta,Large town,14,The working class of society,con patner e figli
17708,Spread of infectious diseases,10.0,Yes,1,1,1,1,1,dx,Man,59,MT - Malta,Large town,15,The working class of society,con patner e figli
17709,"Poverty, hunger and lack of drinking water",9.0,Yes,1,1,1,1,1,centro,Woman,59,MT - Malta,Large town,16,The middle class of society,con patner e figli
17710,Climate change,10.0,Yes,1,2,1,2,2,centro-sx,Man,65,MT - Malta,Small or middle sized town,14,The middle class of society,con patner e figli
17711,The increasing global population,8.0,Yes,2,2,1,1,1,centro-sx,Man,79,MT - Malta,Small or middle sized town,18,The middle class of society,con patner
17712,Climate change,8.0,Yes,1,1,1,1,1,non-posizionabile,Man,18,MT - Malta,Small or middle sized town,0,The middle class of society,single
17713,International terrorism,9.0,Yes,2,1,1,2,2,centro-sx,Man,54,MT - Malta,Small or middle sized town,18,The middle class of society,con patner e figli
17714,The economic situation,10.0,Yes,1,1,1,1,1,non-posizionabile,Man,62,MT - Malta,Rural area or village,15,The middle class of society,con patner e figli
17715,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,23,MT - Malta,Rural area or village,18,The middle class of society,single con figli
17716,Armed conflicts,10.0,Yes,1,1,1,1,1,dx,Woman,42,MT - Malta,Rural area or village,15,The working class of society,con patner e figli
17717,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,69,MT - Malta,Small or middle sized town,16,The working class of society,single
17718,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,44,MT - Malta,Small or middle sized town,16,The working class of society,single con figli
17719,"Poverty, hunger and lack of drinking water",10.0,Yes,2,1,1,1,1,non-posizionabile,Man,75,MT - Malta,Small or middle sized town,16,The working class of society,con patner
17720,International terrorism,8.0,Yes,2,2,2,2,2,centro,Woman,50,MT - Malta,Rural area or village,16,dk,con patner e figli
17721,"Poverty, hunger and lack of drinking water",9.0,No,2,2,2,2,2,centro,Woman,49,MT - Malta,Rural area or village,15,dk,single
17722,Climate change,8.0,Yes,2,2,2,2,2,centro,Woman,41,MT - Malta,Rural area or village,14,The working class of society,con patner e figli
17723,"Poverty, hunger and lack of drinking water",9.0,No,2,2,2,2,2,non-posizionabile,Woman,69,MT - Malta,Rural area or village,14,The working class of society,con patner
17724,International terrorism,7.0,Yes,1,1,1,1,1,centro-sx,Woman,21,MT - Malta,Small or middle sized town,18,The middle class of society,single
17725,Climate change,10.0,Yes,2,1,1,1,1,centro-sx,Man,73,MT - Malta,Small or middle sized town,13,The middle class of society,con patner
17726,International terrorism,7.0,Yes,2,1,1,1,1,centro-sx,Woman,69,MT - Malta,Small or middle sized town,14,The middle class of society,con patner e figli
17727,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro-sx,Man,72,MT - Malta,Small or middle sized town,17,The middle class of society,single
17728,"Poverty, hunger and lack of drinking water",7.0,Yes,2,2,1,2,2,non-posizionabile,Woman,80,MT - Malta,Small or middle sized town,14,The middle class of society,con patner
17729,Climate change,10.0,Yes,1,1,1,1,1,centro,Woman,37,MT - Malta,Large town,16,The middle class of society,con patner e figli
17730,Climate change,10.0,Yes,1,1,1,1,1,centro-dx,Man,40,MT - Malta,Large town,17,The working class of society,single
17731,Climate change,10.0,Yes,2,1,2,2,2,centro,Man,44,MT - Malta,Rural area or village,18,The middle class of society,con patner e figli
17732,Climate change,10.0,Yes,1,1,1,1,1,centro-dx,Woman,19,MT - Malta,Rural area or village,0,The middle class of society,single
17733,Climate change,10.0,Yes,2,2,2,2,2,sx,Man,62,MT - Malta,Rural area or village,16,The lower middle class of society,con patner e figli
17734,Climate change,9.0,Yes,2,2,2,2,2,sx,Woman,53,MT - Malta,Rural area or village,16,The lower middle class of society,con patner
17735,Climate change,10.0,Yes,1,2,1,1,1,non-posizionabile,Man,34,MT - Malta,Rural area or village,22,The middle class of society,con patner e figli
17736,Climate change,8.0,No,2,2,2,2,2,centro,Woman,66,MT - Malta,Rural area or village,14,The working class of society,con patner
17737,International terrorism,8.0,No,2,2,2,2,2,centro,Woman,38,MT - Malta,Rural area or village,22,dk,con patner e figli
17738,Climate change,8.0,No,2,2,2,2,2,sx,Woman,70,MT - Malta,Rural area or village,16,dk,con patner
17739,None (SPONTANEOUS),10.0,Yes,2,2,2,1,1,non-posizionabile,Man,61,MT - Malta,Rural area or village,11,The working class of society,single con figli
17740,International terrorism,5.0,Yes,2,2,2,2,2,non-posizionabile,Woman,83,MT - Malta,Rural area or village,14,The working class of society,single
17741,"Poverty, hunger and lack of drinking water",8.0,Yes,2,2,2,2,2,non-posizionabile,Man,63,MT - Malta,Rural area or village,23,The middle class of society,con patner e figli
17742,"Poverty, hunger and lack of drinking water",9.0,Yes,1,1,1,1,1,non-posizionabile,Woman,75,MT - Malta,Small or middle sized town,15,The middle class of society,con patner
17743,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Man,55,MT - Malta,Small or middle sized town,16,The working class of society,con patner e figli
17744,International terrorism,10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,62,MT - Malta,Small or middle sized town,14,The working class of society,con patner
17745,Climate change,10.0,Yes,1,1,1,1,1,non-posizionabile,Man,35,MT - Malta,Small or middle sized town,16,The working class of society,single
17746,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Man,24,MT - Malta,Small or middle sized town,18,The middle class of society,single
17747,Armed conflicts,10.0,Yes,1,1,1,1,1,non-posizionabile,Man,41,MT - Malta,Small or middle sized town,16,The working class of society,single
17748,International terrorism,10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,16,MT - Malta,Small or middle sized town,0,The middle class of society,single
17749,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,63,MT - Malta,Small or middle sized town,14,The working class of society,con patner
17750,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,76,MT - Malta,Small or middle sized town,14,The working class of society,con patner
17751,"Poverty, hunger and lack of drinking water",10.0,Yes,2,1,1,1,1,non-posizionabile,Man,69,MT - Malta,Rural area or village,14,The middle class of society,con patner
17752,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,58,MT - Malta,Rural area or village,16,The working class of society,con patner e figli
17753,Spread of infectious diseases,10.0,Yes,1,1,1,1,2,non-posizionabile,Man,18,MT - Malta,Rural area or village,0,The middle class of society,con patner
17754,International terrorism,10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,20,MT - Malta,Rural area or village,0,The working class of society,con patner
17755,"Poverty, hunger and lack of drinking water",10.0,Yes,1,3,2,2,2,non-posizionabile,Woman,52,MT - Malta,Rural area or village,52,The middle class of society,con patner e figli
17756,International terrorism,10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,73,MT - Malta,Small or middle sized town,16,The working class of society,single
17757,Climate change,10.0,Yes,1,1,1,1,1,non-posizionabile,Man,64,MT - Malta,Small or middle sized town,15,The working class of society,con patner
17758,International terrorism,9.0,Yes,1,1,1,1,1,centro,Man,71,MT - Malta,Small or middle sized town,18,The middle class of society,con patner
17759,Proliferation of nuclear weapons,10.0,Yes,1,1,1,1,1,non-posizionabile,Man,78,MT - Malta,Small or middle sized town,14,The working class of society,con patner
17760,Climate change,10.0,Yes,2,2,1,1,1,non-posizionabile,Woman,35,MT - Malta,Small or middle sized town,22,The working class of society,single
17761,The economic situation,10.0,Yes,1,1,1,1,1,non-posizionabile,Man,40,MT - Malta,Small or middle sized town,19,The middle class of society,con patner e figli
17762,The economic situation,10.0,Yes,1,1,1,1,2,centro,Man,37,MT - Malta,Large town,16,The working class of society,con patner
17763,The increasing global population,10.0,Yes,1,1,1,1,1,dx,Woman,50,MT - Malta,Large town,16,The middle class of society,con patner e figli
17764,International terrorism,10.0,Yes,1,1,1,1,1,centro,Woman,65,MT - Malta,Large town,14,The working class of society,con patner e figli
17765,International terrorism,10.0,Yes,1,1,1,1,1,sx,Man,63,MT - Malta,Large town,21,The working class of society,con patner
17766,International terrorism,10.0,Yes,1,1,1,1,1,centro,Woman,60,MT - Malta,Large town,14,The middle class of society,con patner e figli
17767,International terrorism,10.0,Yes,1,1,1,1,1,centro,Woman,61,MT - Malta,Large town,14,The middle class of society,con patner e figli
17768,International terrorism,10.0,Yes,1,1,1,1,1,centro,Woman,57,MT - Malta,Large town,16,The middle class of society,con patner e figli
17769,International terrorism,10.0,Yes,1,1,1,1,1,centro,Woman,67,MT - Malta,Large town,14,The working class of society,con patner
17770,International terrorism,10.0,Yes,1,1,1,1,1,centro,Man,47,MT - Malta,Large town,21,The middle class of society,con patner e figli
17771,Spread of infectious diseases,10.0,Yes,1,1,1,1,1,centro,Man,33,MT - Malta,Large town,22,The upper middle class of society,single
17772,Climate change,10.0,Yes,1,1,1,1,1,centro,Woman,38,MT - Malta,Large town,16,The middle class of society,con patner e figli
17773,Climate change,10.0,Yes,1,1,1,1,1,centro-sx,Man,82,MT - Malta,Large town,14,The working class of society,con patner
17774,International terrorism,6.0,Yes,2,2,1,2,2,centro-sx,Man,39,MT - Malta,Rural area or village,16,The lower middle class of society,single
17775,"Poverty, hunger and lack of drinking water",7.0,Yes,2,2,1,1,1,non-posizionabile,Woman,68,MT - Malta,Small or middle sized town,16,The middle class of society,con patner e figli
17776,"Poverty, hunger and lack of drinking water",8.0,Yes,2,2,1,2,1,centro-dx,Woman,84,MT - Malta,Small or middle sized town,14,The middle class of society,con patner
17777,International terrorism,9.0,Yes,1,1,1,1,1,centro-sx,Woman,30,MT - Malta,Small or middle sized town,18,The middle class of society,single
17778,"Poverty, hunger and lack of drinking water",10.0,Yes,2,2,2,2,2,non-posizionabile,Man,39,MT - Malta,Rural area or village,16,The middle class of society,single
17779,The increasing global population,8.0,Yes,2,2,2,2,1,non-posizionabile,Woman,64,MT - Malta,Rural area or village,14,The middle class of society,con patner e figli
17780,Climate change,10.0,Yes,2,2,2,2,2,non-posizionabile,Man,72,MT - Malta,Rural area or village,16,The middle class of society,con patner
17781,The increasing global population,6.0,Yes,2,2,2,2,2,non-posizionabile,Man,21,MT - Malta,Rural area or village,0,The middle class of society,Other (SPONT.)
17782,"Poverty, hunger and lack of drinking water",5.0,Yes,1,1,1,1,1,non-posizionabile,Woman,47,MT - Malta,Small or middle sized town,19,The middle class of society,con patner e figli
17783,International terrorism,8.0,Yes,1,1,1,1,1,centro-dx,Man,89,MT - Malta,Rural area or village,16,The middle class of society,con patner
17784,International terrorism,6.0,Yes,2,2,2,2,2,non-posizionabile,Man,88,MT - Malta,Small or middle sized town,14,The lower middle class of society,con patner
17785,The economic situation,7.0,Yes,4,2,1,1,1,centro,Woman,49,MT - Malta,Small or middle sized town,31,The middle class of society,single
17786,International terrorism,8.0,Yes,2,2,1,1,1,non-posizionabile,Man,77,MT - Malta,Small or middle sized town,16,The middle class of society,con patner
17787,International terrorism,7.0,Yes,2,2,1,1,1,centro-dx,Woman,80,MT - Malta,Rural area or village,14,The middle class of society,single
17788,International terrorism,8.0,Yes,2,2,1,1,1,centro-dx,Woman,82,MT - Malta,Small or middle sized town,18,The middle class of society,con patner
17789,International terrorism,10.0,Yes,2,2,1,1,1,non-posizionabile,Man,74,MT - Malta,Rural area or village,16,The middle class of society,con patner
17790,"Poverty, hunger and lack of drinking water",9.0,Yes,2,2,1,2,1,non-posizionabile,Woman,76,MT - Malta,Rural area or village,12,The working class of society,single
17791,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,2,2,2,non-posizionabile,Woman,72,MT - Malta,Rural area or village,14,The working class of society,con patner
17792,International terrorism,10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,59,MT - Malta,Rural area or village,14,The middle class of society,con patner
17793,International terrorism,7.0,Yes,1,1,1,1,1,non-posizionabile,Man,68,MT - Malta,Rural area or village,13,The working class of society,single
17794,"Poverty, hunger and lack of drinking water",10.0,Yes,2,2,1,1,1,non-posizionabile,Woman,63,MT - Malta,Rural area or village,15,The working class of society,con patner
17795,"Poverty, hunger and lack of drinking water",5.0,Yes,1,1,1,1,1,non-posizionabile,Woman,56,MT - Malta,Rural area or village,16,The working class of society,single con figli
17796,International terrorism,9.0,Yes,1,1,2,2,2,non-posizionabile,Woman,62,MT - Malta,Rural area or village,15,The working class of society,single con figli
17797,Proliferation of nuclear weapons,10.0,Yes,2,3,1,1,1,non-posizionabile,Man,60,MT - Malta,Rural area or village,16,The middle class of society,con patner
17798,International terrorism,9.0,Yes,1,1,2,1,1,non-posizionabile,Woman,61,MT - Malta,Rural area or village,16,The middle class of society,con patner e figli
17799,Spread of infectious diseases,7.0,Yes,2,2,1,1,1,centro-dx,Man,60,MT - Malta,Rural area or village,15,The middle class of society,con patner
17800,Climate change,10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,65,MT - Malta,Rural area or village,19,The middle class of society,con patner
17801,Spread of infectious diseases,10.0,Yes,1,2,1,1,1,centro,Woman,56,MT - Malta,Rural area or village,18,The middle class of society,con patner
17802,"Poverty, hunger and lack of drinking water",7.0,Yes,2,2,2,2,2,centro-dx,Woman,73,MT - Malta,Rural area or village,16,The middle class of society,con patner e figli
17803,International terrorism,10.0,Yes,1,1,1,1,1,centro,Man,72,MT - Malta,Rural area or village,14,The middle class of society,con patner
17804,International terrorism,10.0,Yes,1,1,1,1,1,centro,Woman,48,MT - Malta,Rural area or village,17,The working class of society,con patner e figli
17805,International terrorism,10.0,Yes,1,1,1,1,1,centro,Man,70,MT - Malta,Rural area or village,14,The middle class of society,con patner e figli
17806,Climate change,10.0,Yes,1,1,1,1,1,centro,Woman,40,MT - Malta,Rural area or village,18,The middle class of society,con patner e figli
17807,Climate change,10.0,Yes,1,2,1,1,1,non-posizionabile,Man,31,MT - Malta,Small or middle sized town,19,The working class of society,con patner e figli
17808,The economic situation,10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,28,MT - Malta,Small or middle sized town,20,The working class of society,con patner e figli
17809,The economic situation,10.0,Yes,2,2,1,1,1,centro-dx,Man,39,MT - Malta,Large town,23,The middle class of society,con patner
17810,International terrorism,10.0,Yes,2,2,1,1,1,non-posizionabile,Man,35,MT - Malta,Small or middle sized town,21,The working class of society,con patner e figli
17811,International terrorism,7.0,Yes,2,2,2,2,2,centro-dx,Woman,27,PL - Poland,Rural area or village,24,The middle class of society,con patner e figli
17812,Armed conflicts,7.0,Yes,2,3,2,2,2,centro-dx,Man,69,PL - Poland,Rural area or village,18,The working class of society,con patner
17813,Armed conflicts,6.0,Yes,2,2,2,2,2,centro-dx,Woman,68,PL - Poland,Rural area or village,17,The working class of society,con patner
17814,Armed conflicts,7.0,Yes,2,2,2,2,2,centro-dx,Man,60,PL - Poland,Rural area or village,20,The lower middle class of society,con patner e figli
17815,International terrorism,8.0,Yes,2,2,2,2,2,centro,Man,59,PL - Poland,Rural area or village,21,The lower middle class of society,con patner e figli
17816,"Poverty, hunger and lack of drinking water",9.0,Yes,1,2,1,1,2,centro-sx,Man,31,PL - Poland,Large town,23,The middle class of society,con patner
17817,Climate change,10.0,Yes,3,2,1,1,1,centro-dx,Woman,65,PL - Poland,Large town,24,The middle class of society,con patner
17818,The increasing global population,10.0,Yes,1,1,1,1,1,centro,Woman,70,PL - Poland,Large town,25,The middle class of society,single
17819,"Poverty, hunger and lack of drinking water",9.0,Yes,2,2,2,1,3,centro,Man,18,PL - Poland,Large town,0,The middle class of society,single
17820,Climate change,10.0,Yes,2,2,2,2,2,centro,Man,40,PL - Poland,Rural area or village,18,The working class of society,single con figli
17821,"Poverty, hunger and lack of drinking water",6.0,Yes,2,2,1,1,2,centro-dx,Man,34,PL - Poland,Rural area or village,20,The working class of society,single
17822,International terrorism,7.0,Yes,2,3,2,2,2,dx,Man,66,PL - Poland,Rural area or village,18,The working class of society,con patner
17823,Climate change,10.0,Yes,2,2,2,2,2,dx,Man,60,PL - Poland,Rural area or village,18,The middle class of society,single
17824,International terrorism,10.0,Yes,2,2,2,2,2,centro,Woman,65,PL - Poland,Rural area or village,22,The middle class of society,single
17825,Spread of infectious diseases,6.0,Yes,2,2,2,2,2,non-posizionabile,Man,28,PL - Poland,Rural area or village,18,The middle class of society,single
17826,Climate change,6.0,No,2,2,1,2,2,non-posizionabile,Man,43,PL - Poland,Small or middle sized town,dk,The working class of society,con patner
17827,Proliferation of nuclear weapons,6.0,Yes,2,2,1,2,2,dx,Man,64,PL - Poland,Small or middle sized town,18,The lower middle class of society,single
17828,International terrorism,5.0,No,2,2,2,2,2,non-posizionabile,Woman,43,PL - Poland,Rural area or village,18,The working class of society,con patner e figli
17829,"Poverty, hunger and lack of drinking water",8.0,No,1,1,2,2,2,centro-dx,Man,37,PL - Poland,Rural area or village,24,The lower middle class of society,con patner e figli
17830,International terrorism,7.0,No,2,2,1,1,2,centro,Man,79,PL - Poland,Rural area or village,14,The working class of society,con patner e figli
17831,International terrorism,10.0,No,1,1,1,1,1,dx,Man,70,PL - Poland,Rural area or village,22,The lower middle class of society,con patner
17832,International terrorism,5.0,No,2,1,2,2,2,dx,Woman,63,PL - Poland,Rural area or village,14,The working class of society,con patner e figli
17833,dk,8.0,No,1,2,1,1,1,non-posizionabile,Woman,40,PL - Poland,Rural area or village,20,The working class of society,con patner e figli
17834,Proliferation of nuclear weapons,5.0,Yes,2,2,2,2,1,centro-dx,Woman,65,PL - Poland,Rural area or village,25,The upper middle class of society,con patner
17835,Climate change,10.0,Yes,2,2,1,1,1,centro-dx,Man,56,PL - Poland,Rural area or village,19,The lower middle class of society,con patner e figli
17836,Proliferation of nuclear weapons,5.0,Yes,2,2,2,2,2,centro,Woman,70,PL - Poland,Rural area or village,17,The working class of society,con patner
17837,Climate change,7.0,Yes,1,2,1,1,1,centro-dx,Woman,60,PL - Poland,Rural area or village,19,The working class of society,single con figli
17838,"Poverty, hunger and lack of drinking water",10.0,No,1,1,1,1,1,dx,Man,21,PL - Poland,Small or middle sized town,0,The working class of society,con patner
17839,Armed conflicts,10.0,No,2,1,1,1,1,non-posizionabile,Woman,37,PL - Poland,Small or middle sized town,21,The working class of society,con patner e figli
17840,International terrorism,10.0,No,1,1,1,1,1,dx,Man,24,PL - Poland,Small or middle sized town,21,The middle class of society,single
17841,International terrorism,1.0,Yes,1,1,1,1,1,sx,Woman,56,PL - Poland,Small or middle sized town,26,The upper middle class of society,con patner e figli
17842,International terrorism,10.0,No,1,1,1,1,1,centro,Woman,73,PL - Poland,Small or middle sized town,19,The lower middle class of society,single con figli
17843,Climate change,10.0,Yes,1,1,1,1,1,sx,Man,64,PL - Poland,Small or middle sized town,20,The middle class of society,con patner
17844,International terrorism,5.0,Yes,1,1,1,1,1,dx,Woman,55,PL - Poland,Small or middle sized town,20,The middle class of society,con patner
17845,Climate change,10.0,Yes,1,1,1,2,1,centro-sx,Man,70,PL - Poland,Large town,19,The working class of society,con patner e figli
17846,Proliferation of nuclear weapons,5.0,No,3,1,2,1,2,non-posizionabile,Woman,69,PL - Poland,Large town,17,The middle class of society,single
17847,Climate change,8.0,Yes,2,2,1,1,1,non-posizionabile,Man,23,PL - Poland,Large town,0,The middle class of society,single
17848,"Poverty, hunger and lack of drinking water",8.0,No,2,2,1,1,2,centro,Man,53,PL - Poland,Rural area or village,18,The working class of society,con patner e figli
17849,Climate change,8.0,No,1,3,1,2,2,centro,Woman,75,PL - Poland,Rural area or village,20,The middle class of society,single
17850,Spread of infectious diseases,7.0,No,3,3,1,2,2,non-posizionabile,Woman,45,PL - Poland,Rural area or village,20,The middle class of society,con patner e figli
17851,dk,6.0,Yes,2,2,2,2,2,centro-dx,Man,83,PL - Poland,Rural area or village,15,The middle class of society,con patner
17852,The increasing global population,7.0,No,3,3,2,2,2,non-posizionabile,Man,25,PL - Poland,Rural area or village,24,The middle class of society,con patner
17853,The increasing global population,6.0,No,2,2,2,2,2,centro-sx,Man,55,PL - Poland,Rural area or village,18,The working class of society,con patner
17854,Spread of infectious diseases,5.0,No,3,2,3,2,2,centro,Woman,25,PL - Poland,Rural area or village,Refusal,The middle class of society,con patner e figli
17855,Climate change,9.0,Yes,2,1,2,2,2,non-posizionabile,Man,23,PL - Poland,Small or middle sized town,19,The middle class of society,con patner
17856,dk,7.0,No,2,2,2,2,2,non-posizionabile,Woman,32,PL - Poland,Small or middle sized town,18,The working class of society,con patner e figli
17857,The economic situation,3.0,No,2,2,3,3,3,centro-dx,Woman,75,PL - Poland,Small or middle sized town,19,dk,con patner e figli
17858,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,24,PL - Poland,Small or middle sized town,19,dk,con patner e figli
17859,Armed conflicts,6.0,No,1,1,3,3,2,non-posizionabile,Man,24,PL - Poland,Rural area or village,23,The working class of society,con patner
17860,The economic situation,7.0,No,2,2,2,2,2,non-posizionabile,Woman,28,PL - Poland,Small or middle sized town,19,The middle class of society,con patner e figli
17861,Armed conflicts,7.0,Yes,2,2,2,2,2,non-posizionabile,Woman,80,PL - Poland,Small or middle sized town,17,The middle class of society,single
17862,"Poverty, hunger and lack of drinking water",7.0,Yes,2,3,1,2,2,centro,Woman,65,PL - Poland,Rural area or village,19,The working class of society,con patner e figli
17863,Climate change,8.0,Yes,1,1,2,2,2,centro-dx,Woman,68,PL - Poland,Rural area or village,18,The lower middle class of society,con patner
17864,Armed conflicts,6.0,Yes,1,1,3,2,2,centro-dx,Woman,26,PL - Poland,Rural area or village,19,The lower middle class of society,con patner e figli
17865,"Poverty, hunger and lack of drinking water",7.0,No,1,1,3,2,1,non-posizionabile,Woman,26,PL - Poland,Rural area or village,18,The working class of society,con patner
17866,International terrorism,10.0,Yes,2,2,2,2,2,dx,Woman,39,PL - Poland,Large town,18,The working class of society,con patner e figli
17867,International terrorism,10.0,No,2,1,2,2,2,centro,Woman,62,PL - Poland,Large town,16,The working class of society,single
17868,International terrorism,10.0,Yes,1,1,1,1,2,dx,Man,17,PL - Poland,Large town,17,The upper middle class of society,con patner
17869,International terrorism,9.0,No,2,2,1,1,2,dx,Woman,80,PL - Poland,Large town,19,The middle class of society,single
17870,International terrorism,10.0,No,2,2,2,2,2,dx,Man,58,PL - Poland,Large town,18,The working class of society,con patner e figli
17871,"Poverty, hunger and lack of drinking water",6.0,No,2,2,2,2,2,centro,Man,17,PL - Poland,Large town,0,The working class of society,con patner
17872,Climate change,10.0,No,2,2,1,1,1,dx,Man,34,PL - Poland,Large town,20,The working class of society,con patner e figli
17873,Climate change,9.0,No,2,2,2,2,2,non-posizionabile,Man,43,PL - Poland,Large town,34,The lower middle class of society,con patner e figli
17874,International terrorism,5.0,Yes,1,1,1,1,1,centro,Man,64,PL - Poland,Large town,18,The working class of society,con patner e figli
17875,Climate change,9.0,Yes,1,2,2,2,2,non-posizionabile,Man,52,PL - Poland,Large town,18,The working class of society,single
17876,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,31,PL - Poland,Large town,22,The middle class of society,con patner e figli
17877,"Poverty, hunger and lack of drinking water",10.0,Yes,1,2,1,1,2,non-posizionabile,Woman,69,PL - Poland,Large town,19,The working class of society,con patner
17878,Proliferation of nuclear weapons,8.0,Yes,2,2,2,1,2,non-posizionabile,Man,62,PL - Poland,Large town,18,The working class of society,con patner
17879,International terrorism,10.0,Yes,2,3,2,2,2,dx,Man,47,PL - Poland,Rural area or village,18,The working class of society,con patner e figli
17880,Climate change,10.0,Yes,2,2,1,2,1,centro,Man,52,PL - Poland,Rural area or village,19,The lower middle class of society,con patner
17881,Proliferation of nuclear weapons,7.0,Yes,2,3,2,2,2,dx,Woman,72,PL - Poland,Rural area or village,18,The working class of society,single
17882,Spread of infectious diseases,10.0,Yes,2,3,2,2,2,dx,Woman,55,PL - Poland,Rural area or village,18,The middle class of society,single con figli
17883,The economic situation,10.0,Yes,2,3,2,2,2,dx,Woman,54,PL - Poland,Rural area or village,18,The middle class of society,con patner
17884,Spread of infectious diseases,10.0,Yes,1,1,1,2,2,dx,Woman,68,PL - Poland,Rural area or village,19,The lower middle class of society,con patner e figli
17885,The economic situation,8.0,Yes,2,2,2,2,2,dx,Woman,38,PL - Poland,Rural area or village,20,The working class of society,con patner e figli
17886,Armed conflicts,6.0,No,2,2,2,2,2,centro-dx,Man,46,PL - Poland,Rural area or village,17,The working class of society,con patner e figli
17887,Proliferation of nuclear weapons,10.0,No,2,1,1,2,2,dx,Man,39,PL - Poland,Rural area or village,15,The working class of society,con patner
17888,International terrorism,10.0,Yes,1,1,2,2,2,centro,Woman,39,PL - Poland,Rural area or village,18,The working class of society,con patner e figli
17889,International terrorism,7.0,No,1,1,2,2,2,centro,Woman,37,PL - Poland,Rural area or village,20,The lower middle class of society,con patner e figli
17890,Armed conflicts,7.0,Yes,3,2,3,2,2,centro-dx,Man,33,PL - Poland,Large town,19,The middle class of society,con patner e figli
17891,"Poverty, hunger and lack of drinking water",9.0,Yes,1,1,1,1,1,centro-sx,Man,72,PL - Poland,Large town,23,The middle class of society,con patner
17892,"Poverty, hunger and lack of drinking water",7.0,No,1,2,2,2,2,non-posizionabile,Woman,23,PL - Poland,Large town,0,The middle class of society,single
17893,Climate change,10.0,No,2,3,1,1,1,centro-sx,Man,21,PL - Poland,Large town,0,The middle class of society,single
17894,International terrorism,7.0,No,1,2,1,1,1,centro,Woman,42,PL - Poland,Small or middle sized town,21,The working class of society,con patner e figli
17895,International terrorism,6.0,Yes,1,1,1,1,2,centro,Man,57,PL - Poland,Small or middle sized town,25,The lower middle class of society,con patner
17896,Armed conflicts,8.0,No,1,2,1,2,1,centro,Man,61,PL - Poland,Small or middle sized town,20,The working class of society,con patner
17897,Proliferation of nuclear weapons,10.0,No,1,1,2,2,2,non-posizionabile,Woman,65,PL - Poland,Small or middle sized town,15,The working class of society,con patner e figli
17898,Proliferation of nuclear weapons,6.0,Yes,2,2,1,2,2,dx,Woman,61,PL - Poland,Small or middle sized town,14,The working class of society,con patner
17899,"Poverty, hunger and lack of drinking water",10.0,Yes,2,2,1,2,1,non-posizionabile,Man,56,PL - Poland,Large town,19,The lower middle class of society,con patner
17900,Proliferation of nuclear weapons,10.0,Yes,1,2,1,1,1,centro,Man,25,PL - Poland,Large town,20,The working class of society,con patner
